"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","登录","1","0","登陆成功","0"
"0","","0","用户管理","1","0","查询成功","0"
"0","","0","用户管理","1","0","查询失败","0"
"0","","0","图片上传","1","0","上传成功","0"
