"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","370","ID:1 --------管理员登陆成功","testcases","Tue Aug 11 22:55:09 CST 2026","passed","Tue Aug 11 22:55:09 CST 2026","TestRunner","test_runner","",""
"","56","ID:3 --------查询用户数据列表成功","testcases","Tue Aug 11 22:55:09 CST 2026","passed","Tue Aug 11 22:55:09 CST 2026","TestRunner","test_runner","",""
"","7","ID:2 --------未登录状态，查询用户列表失败","testcases","Tue Aug 11 22:55:09 CST 2026","passed","Tue Aug 11 22:55:09 CST 2026","TestRunner","test_runner","",""
"","47","ID:6 --------图片上传成功","testcases","Tue Aug 11 22:55:09 CST 2026","passed","Tue Aug 11 22:55:10 CST 2026","TestRunner","test_runner","",""
